ip,port,country,city,isp,response_time_ms,status,tested_at
37.221.193.221,29195,Germany,Nuremberg,netcup GmbH,6347.11,working,2025-11-10 10:42:29
37.221.193.221,47767,Germany,Nuremberg,netcup GmbH,7036.59,working,2025-11-10 10:44:22
37.221.193.221,10380,Germany,Nuremberg,netcup GmbH,7248.57,working,2025-11-10 10:50:51
37.221.193.221,12931,Germany,Nuremberg,netcup GmbH,7789.22,working,2025-11-10 10:49:04
37.221.193.221,50955,Germany,Nuremberg,netcup GmbH,8374.78,working,2025-11-10 10:50:01
198.8.94.174,39078,United States,Atlanta,Performive LLC,8441.16,working,2025-11-10 10:44:33
37.221.193.221,20499,Germany,Nuremberg,netcup GmbH,8776.92,working,2025-11-10 10:42:18
206.220.175.2,4145,United States,Los Angeles,Performive LLC,8793.96,working,2025-11-10 10:47:17
98.181.137.83,4145,United States,Las Vegas,Cox Communications Inc.,8848.06,working,2025-11-10 10:43:15
192.252.215.5,16137,United States,Atlanta,Performive LLC,9212.74,working,2025-11-10 10:48:24
184.181.217.213,4145,United States,Pensacola,Cox Communications Inc.,9413.3,working,2025-11-10 10:50:17
68.71.254.6,4145,United States,Beverly Hills,Total Server Solutions L.L.C.,9427.83,working,2025-11-10 10:47:57
68.71.247.130,4145,United States,Los Angeles,Total Server Solutions L.L.C.,9763.33,working,2025-11-10 10:51:05
98.181.137.80,4145,Unknown,Unknown,Unknown,9852.75,working,2025-11-10 10:44:13
72.37.216.68,4145,United States,Beverly Hills,Performive LLC,9989.44,working,2025-11-10 10:44:48
184.181.217.210,4145,United States,Pensacola,Cox Communications Inc.,10080.1,working,2025-11-10 10:46:59
199.102.104.70,4145,United States,Beverly Hills,Performive LLC,10151.3,working,2025-11-10 10:41:45
72.195.114.169,4145,United States,Irvine,Cox Communications Inc.,10315.25,working,2025-11-10 10:44:15
142.54.235.9,4145,United States,Los Angeles,Performive LLC,10365.81,failed,2025-11-10 10:50:38
184.178.172.14,4145,Unknown,Unknown,Unknown,10654.24,working,2025-11-10 10:41:02
192.252.220.92,17328,United States,Los Angeles,Performive LLC,10773.56,working,2025-11-10 10:42:51
184.178.172.3,4145,United States,Roanoke,Cox Communications Inc.,10916.17,working,2025-11-10 10:49:14
192.252.208.67,14287,United States,Atlanta,Performive LLC,10949.71,working,2025-11-10 10:40:32
